			org1 (Host/Predator)						org2 (Symbiont/Parasite/Prey)												
																					
Observation type	Taxonomic interaction 	Interaction	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Database	Interaction_ID	Ecological interaction	Habitat	Source
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Nyctotherus	velox	AJ132647	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter	NA	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_17	methanogenic symbiont	Marine	NA
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Nyctotherus	cordiformis	AJ238131	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter	NA	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_18	methanogenic symbiont	Marine	NA
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Metopus	contortus	Z13957	Prokaryote	Archaea	Methanomicrobia	Methanocorpusculum	NA	Embley et al 1992	10.1111/j.1574-6968.1992.tb05439.x	MicroEcoSystems	ID_19	methanogenic symbiont	Marine	Anaerobic sand sample (Denmark)
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Trimyema	NA	Z16412	Prokaryote	Archaea	Methanomicrobia	Methanocorpusculum	NA	Finlay et al. 1992	10.1099/00221287-139-2-371	MicroEcoSystems	ID_20	methanogenic symbiont	Freshwater 	Anoxic sediment, pond (Priest Pot)
1	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Metopus	contortus	NA	Prokaryote	Archaea	Methanomicrobia	Methanoplanus	endosymbiosus	van Bruggen et al. 1986	10.1007/BF00409886	MicroEcoSystems	ID_21	methanogenic symbiont	Marine	collected from seaweed
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	unknown_ciliate	unknown_ciliate	AJ132648	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_22	methanogenic symbiont	Marine	sediment
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	unknown_ciliate	unknown_ciliate	AJ132649	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_23	methanogenic symbiont	Marine	sediment
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	unknown_ciliate	unknown_ciliate	AJ132650	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_24	methanogenic symbiont	Marine	sediment
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Brachonella	NA	AJ132654	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_25	methanogenic symbiont	Marine	sediment
3	Prot - Arc	symb	NA	Eukaryote	Alveolata	Ciliophora	Brachonella	NA	AJ132655	Prokaryote	Archaea	Methanomicrobia	unknown_methanomicrobia	unknown_methanomicrobia	van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	MicroEcoSystems	ID_26	methanogenic symbiont	Marine	sediment
